Manufacturer Part Number,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),Package,Description,Product Link
ANR4012T470M,APV,10,0.0544,0.54,"SMD,4x4mm","500mA 47uH 500mA Magnetic Shielded Inductor ±20% SMD,4x4mm Fixed Inductors RoHS",https://www.lcsc.com/product-detail/C7497063.html
MAX30102EFD+T,MAXIM,1,13.0636,13.06,OESIP-14,I2C OESIP-14 Specialized Sensors RoHS,https://www.lcsc.com/product-detail/C6454833.html
MAX17048X+T10,MAXIM,1,1.1576,1.16,WLP-8(0.9x1.8),Lithium Battery I2C WLP-8(0.9x1.8) Battery Management RoHS,https://www.lcsc.com/product-detail/C7497002.html
1N4148,onsemi,50,0.0353,1.77,DO-35,Diode 100V 200mA Through Hole DO-35,https://www.lcsc.com/product-detail/C258182.html
FRC0402F1001TS,FOJAN,100,0.0006,0.06,0402,1k? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C2906864.html
FRC0402F22R0TS,FOJAN,100,0.0006,0.06,0402,22? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C2929994.html
FRC0402F2R20TS,FOJAN,100,0.0008,0.08,0402,2.2? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C2909330.html
FRC0402F1002TS,FOJAN,100,0.0006,0.06,0402,10k? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C2906861.html
LW06121,WENDA,100,0.07,7,"SMD,P=0.62mm,Surface Mount,Right Angle",1.2H 14Pin 0.62mm Pitch OLED FPC/FFC Upper Contact Pull-Out Horizontal SMD Flat Connector,https://www.alibaba.com/product-detail/WENDA-LW06121-1-2H-14Pin-0_1601292173873.html
GDEY0154D67-T03,Goodisplay,1,11.32,11.32,-,1.54Inch Touch E-Paper 200x200 E-Ink Display,https://www.aliexpress.com/item/1005005200574055.html
SSD1306,-,2,0.72,1.44,-,0.91 Inch I2C OLED Module,https://www.aliexpress.com/item/1005004415958608.html?spm=a2g0o.tesla.0.0.4820nU7CnU7Cr1&pdp_npi=6%40dis%21AUD%21AU%241.39%21AU%241.05%21%21%21%21%21%402103122117624689217517794e3108%2112000046550658291%21btfpre%21%21%21%211%210%21&afTraceInfo=1005004415958608__pc__c_ppc_item_bridge_pc_main__vt8pak6__1762468921809
401230,-,5,8.37,11.7,-,3.7V 130mAh Rechargeable Li-Po Polymer Battery,"https://www.aliexpress.com/item/1005011548432569.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.8.43f7QzLmQzLmgd&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=3bd3e2fd-a970-4708-ad0d-5a1d5a035dc8&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:3bd3e2fd-a970-4708-ad0d-5a1d5a035dc8,tpp_buckets:668%232846%238108%231977&pdp_ext_f=%7B""order""%3A""6""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21USD%2113.08%218.37%21%21%2189.86%2157.51%21%402101e2b417711150796635781ebc60%2112000055887278871%21rec%21AU%216047249797%21XZ%211%210%21n_tag%3A-29919%3Bd%3A65a10f57%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005011548432569%7C_p_origin_prod%3A"
0619AAC,-,3,3.06,3.06,-,Brushless X-axis 1.2V 100mA Max Precision Vibration Motor,https://www.aliexpress.com/item/1005006129236699.html?spm=a2g0o.cart.0.0.157538daxZfUfb&mp=1&pdp_npi=5%40dis%21AUD%21AUD%204.73%21AUD%204.02%21%21AUD%204.02%21%21%21%402103212317648973370843232e461d%2112000035892453159%21ct%21AU%216047249797%21%211%211
TS-A002,-,3,0.069,1.38,-,Momentary Tact Switch SMD,https://www.aliexpress.com/item/1005008702742151.html?spm=a2g0o.cart.0.0.785138daOe1hVa&mp=1&pdp_npi=5%40dis%21USD%21USD%201.38%21USD%201.38%21%21USD%201.38%21%21%21%4021033d1217668082665115137ee51b%2112000046642944142%21ct%21AU%216047249797%21%211%210
-,-,3,0.0264,1.32,-,M1.4 Torx countersunk machine screw 4mm length,https://www.aliexpress.com/item/33006942612.html?spm=a2g0o.cart.0.0.172438dayDrOXJ&mp=1&pdp_npi=5%40dis%21USD%21USD%201.32%21USD%201.32%21%21USD%201.32%21%21%21%402103212317668074428231957e8041%2167012387977%21ct%21AU%216047249797%21%211%210
-,-,3,0.0244,1.22,-,M1.4 Brass threaded inserts 1.5mm length,https://www.aliexpress.com/item/1005007653131713.html?spm=a2g0o.cart.0.0.785138daOe1hVa&mp=1&pdp_npi=5%40dis%21USD%21USD%201.36%21USD%201.22%21%21USD%201.22%21%21%21%402101e2b217668079638444750e2ddc%2112000041667111405%21ct%21AU%216047249797%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
